date;timeGap;levelInterval;hourRequest;updatedBy;lastUpdate;
2023-01-18;8;5;1;-;21:52:01;
2023-01-19;8;5;1;-;19:24:01;
2023-01-20;8;5;1;bde198234;14:57:01;
2023-01-30;8;5;1;bde198234;21:21:01;
2023-01-31;8;5;1;bde198234;21:21:01;
2023-02-04;8;5;1;bde198234;13:52:01;
2023-02-05;8;5;1;bde198234;13:53:01;
2023-02-07;8;5;1;bde198234;2023-02-07 03:25:05;
2023-02-08;8;5;1;bde198234;2023-02-07 03:27:10;
2023-02-09;8;5;1;bde000001;2023-02-09 01:53;
2023-02-10;10;10;bde000001;2023-02-09 02:10;
2023-02-15;8;5;1;bde000001;2023-02-15 14:06;
2023-02-16;8;5;1;bde000001;2023-02-15 14:07;
2023-02-15;8;5;1;bde000001;2023-02-15 19:19;
2023-02-16;8;5;1;bde000001;2023-02-15 19:50;
