unitNo;Target;squareFeet;status;dateOfSold;
A-01-01;Residential;1000;sold;31/01/2023;
A-01-02;Residential;800;sold;01/11/2022;
A-01-03;Residential;1300;sold;01/11/2022;
A-01-03A;Residential;1000;sold;01/11/2022;
A-01-05;Residential;800;sold;01/11/2022;
A-02-01;Residential;1000;sold;01/11/2022;
A-02-02;Residential;800;sold;01/11/2022;
A-02-03;Residential;1200;sold;01/11/2022;
A-02-03A;Residential;1000;sold;01/11/2022;
A-02-05;Residential;800;sold;31/01/2023;
A-03-01;Residential;1000;sold;01/11/2022;
A-03-02;Residential;800;sold;01/11/2022;
A-03-03;Residential;1200;sold;01/11/2022;
A-03-03A;Residential;1000;sold;01/11/2022;
A-03-05;Residential;800;sold;01/11/2022;
A-03A-01;Residential;1000;sold;01/11/2022;
A-03A-02;Residential;800;sold;01/11/2022;
A-03A-03;Residential;1200;sold;01/11/2022;
A-03A-03A;Residential;1000;sold;01/11/2022;
A-03A-05;Residential;800;sold;01/11/2022;
A-05-01;Residential;1000;sold;01/11/2022;
A-05-02;Residential;800;sold;01/11/2022;
A-05-03;Residential;1200;sold;01/11/2022;
A-05-03A;Residential;1000;sold;01/11/2022;
A-05-05;Residential;800;sold;01/11/2022;
A-06-01;Residential;1000;sold;01/11/2022;
A-06-02;Residential;800;sold;01/11/2022;
A-06-03;Residential;1200;sold;01/11/2022;
A-06-03A;Residential;1000;sold;01/11/2022;
A-06-05;Residential;800;sold;01/11/2022;
A-07-01;Residential;1000;sold;01/11/2022;
A-07-02;Residential;800;sold;01/11/2022;
A-07-03;Residential;1200;sold;01/11/2022;
A-07-03A;Residential;1000;sold;01/11/2022;
A-07-05;Residential;800;sold;01/11/2022;
A-08-01;Residential;1000;sold;01/11/2022;
A-08-02;Residential;800;sold;01/11/2022;
A-08-03;Residential;1200;sold;01/11/2022;
A-08-03A;Residential;1000;sold;01/11/2022;
A-08-05;Residential;800;sold;01/11/2022;
A-09-01;Residential;1000;sold;01/11/2022;
A-09-02;Residential;800;sold;01/11/2022;
A-09-03;Residential;1200;sold;01/11/2022;
A-09-03A;Residential;1000;sold;01/11/2022;
A-09-05;Residential;800;sold;01/11/2022;
A-10-01;Residential;1000;sold;01/11/2022;
A-10-02;Residential;800;sold;01/11/2022;
A-10-03;Residential;1200;sold;01/11/2022;
A-10-03A;Residential;1000;sold;01/11/2022;
A-10-05;Residential;800;sold;01/11/2022;
A-11-01;Residential;1000;sold;01/11/2022;
A-11-02;Residential;800;sold;01/11/2022;
A-11-03;Residential;1200;sold;01/11/2022;
A-11-03A;Residential;1000;sold;01/11/2022;
A-11-05;Residential;800;sold;01/11/2022;
A-12-01;Residential;1000;sold;01/11/2022;
A-12-02;Residential;800;sold;01/11/2022;
A-12-03;Residential;1200;sold;01/11/2022;
A-12-03A;Residential;1000;sold;01/11/2022;
A-12-05;Residential;800;sold;01/11/2022;
A-13-01;Residential;1000;sold;01/11/2022;
A-13-02;Residential;800;sold;01/11/2022;
A-13-03;Residential;1200;sold;01/11/2022;
A-13-03A;Residential;1000;sold;01/11/2022;
A-13-05;Residential;800;sold;01/11/2022;
A-14-01;Residential;1000;sold;01/11/2022;
A-14-02;Residential;800;sold;01/11/2022;
A-14-03;Residential;1200;sold;01/11/2022;
A-14-03A;Residential;1000;sold;01/11/2022;
A-14-05;Residential;800;sold;01/11/2022;
A-15-01;Residential;1000;sold;01/11/2022;
A-15-02;Residential;800;sold;01/11/2022;
A-15-03;Residential;1200;sold;01/11/2022;
A-15-03A;Residential;1000;sold;01/11/2022;
A-15-05;Residential;800;sold;01/11/2022;
B-01-01;Residential;1000;sold;01/11/2022;
B-01-02;Residential;800;sold;01/11/2022;
B-01-03;Residential;1200;sold;01/11/2022;
B-01-03A;Residential;1000;sold;01/11/2022;
B-01-05;Residential;800;sold;01/11/2022;
B-02-01;Residential;1000;sold;01/11/2022;
