period;unitNo;issuedDate;deleteID;
12/2022;A-01-01;31/01/2023;-;
12/2022;A-01-02;31/01/2023;-;
12/2022;A-01-03;31/01/2023;-;
12/2022;A-01-03A;31/01/2023;-;
12/2022;A-01-05;31/01/2023;-;
12/2022;A-02-01;31/01/2023;-;
12/2022;A-02-02;31/01/2023;-;
12/2022;A-02-03;31/01/2023;-;
12/2022;A-02-03A;31/01/2023;-;
12/2022;A-02-05;31/01/2023;-;
12/2022;A-03-01;31/01/2023;-;
12/2022;A-03-02;31/01/2023;-;
12/2022;A-03-03;31/01/2023;-;
12/2022;A-03-03A;31/01/2023;-;
12/2022;A-03-05;31/01/2023;-;
12/2022;A-03A-01;31/01/2023;-;
12/2022;A-03A-02;31/01/2023;-;
12/2022;A-03A-03;31/01/2023;-;
12/2022;A-03A-03A;31/01/2023;-;
12/2022;A-03A-05;31/01/2023;-;
12/2022;A-05-01;31/01/2023;-;
12/2022;A-05-02;31/01/2023;-;
12/2022;A-05-03;31/01/2023;-;
12/2022;A-05-03A;31/01/2023;-;
12/2022;A-05-05;31/01/2023;-;
12/2022;A-06-01;31/01/2023;-;
12/2022;A-06-02;31/01/2023;-;
12/2022;A-06-03;31/01/2023;-;
12/2022;A-06-03A;31/01/2023;-;
12/2022;A-06-05;31/01/2023;-;
12/2022;A-07-01;31/01/2023;-;
12/2022;A-07-02;31/01/2023;-;
12/2022;A-07-03;31/01/2023;-;
12/2022;A-07-03A;31/01/2023;-;
12/2022;A-07-05;31/01/2023;-;
12/2022;A-08-01;31/01/2023;-;
12/2022;A-08-02;31/01/2023;-;
12/2022;A-08-03;31/01/2023;-;
12/2022;A-08-03A;31/01/2023;-;
12/2022;A-08-05;31/01/2023;-;
12/2022;A-09-01;31/01/2023;-;
12/2022;A-09-02;31/01/2023;-;
12/2022;A-09-03;31/01/2023;-;
12/2022;A-09-03A;31/01/2023;-;
12/2022;A-09-05;31/01/2023;-;
12/2022;A-10-01;31/01/2023;-;
12/2022;A-10-02;31/01/2023;-;
12/2022;A-10-03;31/01/2023;-;
12/2022;A-10-03A;31/01/2023;-;
12/2022;A-10-05;31/01/2023;-;
12/2022;A-11-01;31/01/2023;-;
12/2022;A-11-02;31/01/2023;-;
12/2022;A-11-03;31/01/2023;-;
12/2022;A-11-03A;31/01/2023;-;
12/2022;A-11-05;31/01/2023;-;
12/2022;A-12-01;31/01/2023;-;
12/2022;A-12-02;31/01/2023;-;
12/2022;A-12-03;31/01/2023;-;
12/2022;A-12-03A;31/01/2023;-;
