period;unitNo;tenantID;residentID;
12/2022;A-01-01;tnt000001;-;
12/2022;A-01-02;tnt000002;-;
12/2022;A-01-03;tnt000003;-;
12/2022;A-01-03A;tnt000004;-;
12/2022;A-01-05;tnt000005;-;
12/2022;A-02-01;tnt000006;-;
12/2022;A-02-02;tnt000007;-;
12/2022;A-02-03;tnt000008;-;
12/2022;A-02-03A;tnt000009;-;
12/2022;A-02-05;tnt000010;-;
12/2022;A-03-01;tnt000011;-;
12/2022;A-03-02;tnt000012;-;
12/2022;A-03-03;tnt000013;-;
12/2022;A-03-03A;tnt000014;-;
12/2022;A-03-05;tnt000015;-;
12/2022;A-03A-01;tnt000016;-;
12/2022;A-03A-02;tnt000017;-;
12/2022;A-03A-03;tnt000018;-;
12/2022;A-03A-03A;tnt000019;-;
12/2022;A-03A-05;tnt000020;-;
12/2022;A-05-01;tnt000021;-;
12/2022;A-05-02;tnt000022;-;
12/2022;A-05-03;tnt000023;-;
12/2022;A-05-03A;tnt000024;-;
12/2022;A-05-05;tnt000025;-;
12/2022;A-06-01;tnt000026;-;
12/2022;A-06-02;tnt000027;-;
12/2022;A-06-03;tnt000028;-;
12/2022;A-06-03A;tnt000029;-;
12/2022;A-06-05;tnt000030;-;
12/2022;A-07-01;tnt000031;-;
12/2022;A-07-02;tnt000032;-;
12/2022;A-07-03;tnt000033;-;
12/2022;A-07-03A;tnt000034;-;
12/2022;A-07-05;tnt000035;-;
12/2022;A-08-01;tnt000036;-;
12/2022;A-08-02;tnt000037;-;
12/2022;A-08-03;tnt000038;-;
12/2022;A-08-03A;tnt000039;-;
12/2022;A-08-05;tnt000040;-;
12/2022;A-09-01;tnt000041;-;
12/2022;A-09-02;tnt000042;-;
12/2022;A-09-03;tnt000043;-;
12/2022;A-09-03A;tnt000044;-;
12/2022;A-09-05;tnt000045;-;
12/2022;A-10-01;tnt000046;-;
12/2022;A-10-02;tnt000047;-;
12/2022;A-10-03;tnt000048;-;
12/2022;A-10-03A;tnt000049;-;
12/2022;A-10-05;tnt000050;-;
12/2022;A-11-01;tnt000051;-;
12/2022;A-11-02;tnt000052;-;
12/2022;A-11-03;tnt000053;-;
12/2022;A-11-03A;tnt000054;-;
12/2022;A-11-05;tnt000055;-;
12/2022;A-12-01;tnt000056;-;
12/2022;A-12-02;tnt000057;-;
12/2022;A-12-03;tnt000058;-;
12/2022;A-12-03A;tnt000059;-;
12/2022;A-12-05;tnt000060;-;
12/2022;A-13-01;tnt000061;-;
12/2022;A-13-02;tnt000062;-;
12/2022;A-13-03;tnt000063;-;
12/2022;A-13-03A;tnt000064;-;
12/2022;A-13-05;tnt000065;-;
12/2022;A-14-01;tnt000066;-;
12/2022;A-14-02;tnt000067;-;
12/2022;A-14-03;tnt000068;-;
12/2022;A-14-03A;tnt000069;-;
12/2022;A-14-05;tnt000070;-;
12/2022;A-15-01;tnt000071;-;
12/2022;A-15-02;tnt000072;-;
12/2022;A-15-03;tnt000073;-;
12/2022;A-15-03A;tnt000074;-;
12/2022;A-15-05;tnt000075;-;
12/2022;B-01-01;tnt000076;-;
12/2022;B-01-02;tnt000077;-;
12/2022;B-01-03;tnt000078;-;
12/2022;B-01-03A;tnt000079;-;
12/2022;B-01-05;tnt000080;-;
12/2022;B-02-01;tnt000081;-;
12/2022;B-02-02;tnt000082;-;
12/2022;B-02-03;tnt000083;-;
12/2022;B-02-03A;tnt000084;-;
12/2022;B-02-05;tnt000085;-;
12/2022;B-03-01;tnt000086;-;
12/2022;B-03-02;tnt000087;-;
12/2022;B-03-03;tnt000088;-;
12/2022;B-03-03A;tnt000089;-;
12/2022;B-03-05;tnt000090;-;
12/2022;B-03A-01;tnt000091;-;
12/2022;B-03A-02;tnt000092;-;
12/2022;B-03A-03;tnt000093;-;
12/2022;B-03A-03A;tnt000094;-;
12/2022;B-03A-05;tnt000095;-;
12/2022;B-05-01;tnt000096;-;
12/2022;B-05-02;tnt000097;-;
12/2022;B-05-03;tnt000098;-;
12/2022;B-05-03A;tnt000099;-;
12/2022;B-05-05;tnt000100;-;
12/2022;B-06-01;tnt000101;-;
12/2022;B-06-02;tnt000102;-;
12/2022;B-06-03;tnt000103;-;
12/2022;B-06-03A;tnt000104;-;
12/2022;B-06-05;tnt000105;-;
12/2022;B-07-01;tnt000106;-;
12/2022;B-07-02;tnt000107;-;
12/2022;B-07-03;tnt000108;-;
12/2022;B-07-03A;tnt000109;-;
12/2022;B-07-05;tnt000110;-;
12/2022;B-08-01;tnt000111;-;
12/2022;B-08-02;tnt000112;-;
12/2022;B-08-03;tnt000113;-;
12/2022;B-08-03A;tnt000114;-;
12/2022;B-08-05;tnt000115;-;
12/2022;B-09-01;tnt000116;-;
12/2022;B-09-02;tnt000117;-;
12/2022;B-09-03;tnt000118;-;
12/2022;B-09-03A;tnt000119;-;
12/2022;B-09-05;tnt000120;-;
12/2022;B-10-01;tnt000121;-;
12/2022;B-10-02;tnt000122;-;
12/2022;B-10-03;tnt000123;-;
12/2022;B-10-03A;tnt000124;-;
12/2022;B-10-05;tnt000125;-;
12/2022;B-11-01;tnt000126;-;
12/2022;B-11-02;tnt000127;-;
12/2022;B-11-03;tnt000128;-;
12/2022;B-11-03A;tnt000129;-;
12/2022;B-11-05;tnt000130;-;
